animal_type,symptoms,disease_name,disease_category,recommended_medicines,Primary Intervention (First Aid),Secondary Intervention (Medical Therapy)
dog,"spasmodic coughing episodes after drinking water, gagging at end of cough, otherwise alert and active",Kennel Cough,Bacterial/Viral,"Amoxicillin 20mg/kg TID, Butorphanol 0.05mg/kg BID, Honey and lemon home remedy, Avoid collar pressure",Isolate the animal; keep warm and calm; offer small amounts of water to prevent dehydration; do not force-feed.,"Tetracycline antibiotic therapy (e.g., Doxycycline). Final selection based on clinical assessment."
dog,"sudden aggression, biting without provocation, excessive drooling, paralysis, fear of water, disorientation",Rabies,Viral,"No cure - post-exposure prophylaxis (PEP) with Rabies Immunoglobulin + Rabies Vaccine, Euthanasia in confirmed cases",Isolate the animal; keep warm and calm; offer small amounts of water to prevent dehydration; do not force-feed.,"Pharmacological therapy as determined by veterinary assessment; adjust based on body weight, severity, and diagnostic findings."
dog,"change in behavior, howling, staggering, dropped jaw, unable to swallow, seizures",Rabies,Viral,"Rabies vaccine prevention, Immunoglobulin injection, Supportive care, Isolation protocol",Isolate the animal; keep warm and calm; offer small amounts of water to prevent dehydration; do not force-feed.,"Pharmacological therapy as determined by veterinary assessment; adjust based on body weight, severity, and diagnostic findings."
dog,"previously friendly dog becoming extremely aggressive, self-mutilation, wandering aimlessly, laryngeal paralysis, ascending paralysis",Rabies,Viral,"Strict isolation, Euthanasia recommended in confirmed cases, Post-exposure prophylaxis for exposed humans",Isolate the animal; keep warm and calm; offer small amounts of water to prevent dehydration; do not force-feed.,"Pharmacological therapy as determined by veterinary assessment; adjust based on body weight, severity, and diagnostic findings."
dog,"thick yellow eye discharge, nasal discharge, fever, coughing, seizures, hardened paw pads",Canine Distemper,Viral,"Supportive care: IV fluids, Phenobarbital for seizures, Amoxicillin 22mg/kg, Ribavirin (experimental), Vitamin A & C",Isolate the animal; keep warm and calm; offer small amounts of water to prevent dehydration; do not force-feed.,"Fluid therapy (e.g., Crystalloid IV, Ringer's Lactate); Broad-spectrum antibiotic therapy (e.g., Amoxicillin-Clavulanate); Anticonvulsant therapy (e.g., Phenobarbital). Final selection based on clinical assessment."
dog,"twitching muscles, head tilt, circling, eye inflammation, diarrhea, respiratory distress in puppy",Canine Distemper,Viral,"Diazepam for seizures, Broad-spectrum antibiotics, Nebulization, Distemper Antiserum (early stage)",Isolate the animal; keep warm and calm; offer small amounts of water to prevent dehydration; do not force-feed.,"Fluid therapy (e.g., Crystalloid IV, Ringer's Lactate); Broad-spectrum antibiotic therapy (e.g., Amoxicillin-Clavulanate); Anticonvulsant therapy (e.g., Phenobarbital). Final selection based on clinical assessment."
dog,"hardening of nose leather, cracked paw pads, seizures, vision problems, lethargy, nasal discharge",Canine Distemper,Viral,"Phenobarbital 2-3mg/kg, Vitamin supplements, Supportive fluids, Antibiotics for secondary infections",Isolate the animal; keep warm and calm; offer small amounts of water to prevent dehydration; do not force-feed.,"Fluid therapy (e.g., Crystalloid IV, Ringer's Lactate); Broad-spectrum antibiotic therapy (e.g., Amoxicillin-Clavulanate); Anticonvulsant therapy (e.g., Phenobarbital). Final selection based on clinical assessment."
dog,"fever followed by respiratory signs then neurological twitching, green nasal discharge, enamel defects on teeth",Canine Distemper,Viral,"Levetiracetam 20mg/kg TID for seizures, Enrofloxacin, Ribavirin experimental, High-dose Vitamin C IV",Isolate the animal; keep warm and calm; offer small amounts of water to prevent dehydration; do not force-feed.,"Fluid therapy (e.g., Crystalloid IV, Ringer's Lactate); Broad-spectrum antibiotic therapy (e.g., Amoxicillin-Clavulanate); Anticonvulsant therapy (e.g., Phenobarbital). Final selection based on clinical assessment."
dog,"myoclonus (rhythmic muscle jerking) in sleeping dog, history of poor vaccination, respiratory and GI signs preceding",Canine Distemper,Viral,"Potassium Bromide, Phenobarbital, Nutritional support via feeding tube, Interferon-alpha, Supportive fluids",Isolate the animal; keep warm and calm; offer small amounts of water to prevent dehydration; do not force-feed.,"Fluid therapy (e.g., Crystalloid IV, Ringer's Lactate); Broad-spectrum antibiotic therapy (e.g., Amoxicillin-Clavulanate); Anticonvulsant therapy (e.g., Phenobarbital). Final selection based on clinical assessment."
dog,"chronic cough, exercise intolerance, fatigue after mild activity, weight loss, distended abdomen",Heartworm,Parasitic,"Melarsomine dihydrochloride (Immiticide) 2.5mg/kg IM, Doxycycline 10mg/kg BID, Prednisone, Strict rest",Remove visible external parasites carefully (use gloves); check the whole body; avoid contact with wild animals.,"Tetracycline antibiotic therapy (e.g., Doxycycline). Final selection based on clinical assessment."
dog,"difficulty breathing, collapse after exercise, heart murmur, swollen belly, pale gums",Heartworm,Parasitic,"Ivermectin (preventive), Melarsomine IM injection series, Heparin anticoagulation, Doxycycline",Remove visible external parasites carefully (use gloves); check the whole body; avoid contact with wild animals.,"Tetracycline antibiotic therapy (e.g., Doxycycline). Final selection based on clinical assessment."
dog,"right-sided heart failure signs, jugular vein distension, rapid breathing, weight loss, coughing blood",Heartworm,Parasitic,"Surgical extraction (Caval syndrome), Melarsomine, Prednisone 0.5mg/kg, Monthly Ivermectin prevention",Remove visible external parasites carefully (use gloves); check the whole body; avoid contact with wild animals.,"Tetracycline antibiotic therapy (e.g., Doxycycline). Final selection based on clinical assessment."
dog,"persistent soft cough in outdoor dog, reduced stamina during walks, mild weight loss, occasional fainting",Heartworm,Parasitic,"Doxycycline 10mg/kg BID x 30 days pre-treatment, Melarsomine 2.5mg/kg IM, Strict cage rest 8 weeks",Remove visible external parasites carefully (use gloves); check the whole body; avoid contact with wild animals.,"Tetracycline antibiotic therapy (e.g., Doxycycline). Final selection based on clinical assessment."
dog,"ascites in dog from heartworm-endemic region, muffled heart sounds, gallop rhythm, pale mucous membranes",Heartworm,Parasitic,"Furosemide 2mg/kg for ascites, Melarsomine treatment protocol, Prednisone 0.5mg/kg, Aspirin 5mg/kg",Remove visible external parasites carefully (use gloves); check the whole body; avoid contact with wild animals.,"Tetracycline antibiotic therapy (e.g., Doxycycline). Final selection based on clinical assessment."
dog,"unexplained lumps under skin, sudden weight loss, loss of appetite, persistent lameness, abnormal odor",Cancer (General),Neoplastic,"Chemotherapy (Vincristine/Doxorubicin/Cyclophosphamide), Prednisone, Surgical excision, Palladia (Toceranib)",,
dog,"mast cell tumor on skin, swelling around lump, vomiting, diarrhea, ulcer at tumor site",Mast Cell Tumor,Neoplastic,"Palladia (Toceranib phosphate) 3.25mg/kg EOD, Benadryl 2mg/kg, Prednisone 1mg/kg, Surgical removal","Keep the animal calm and comfortable; minimise physical exertion; monitor for pain signs (whimpering, reluctance to move).","Corticosteroid therapy (e.g., Prednisolone); Antihistamine therapy (e.g., Diphenhydramine); Surgical intervention (based on clinical assessment). Final selection based on clinical assessment."
dog,"swollen lymph nodes, fever, loss of appetite, weight loss, lethargy, labored breathing",Lymphoma,Neoplastic,"CHOP protocol (Cyclophosphamide+Hydroxydaunorubicin+Vincristine+Prednisone), L-asparaginase, Lomustine","Keep the animal calm and comfortable; minimise physical exertion; monitor for pain signs (whimpering, reluctance to move).","Corticosteroid therapy (e.g., Prednisolone); Chemotherapy protocol (based on oncology assessment). Final selection based on clinical assessment."
dog,"limping progressively worsening, bone pain, swelling near joint, reluctance to walk",Osteosarcoma,Neoplastic,"Amputation + Carboplatin chemotherapy, Palliative radiation, NSAIDs for pain (Carprofen 2.2mg/kg BID)","Keep the animal calm and comfortable; minimise physical exertion; monitor for pain signs (whimpering, reluctance to move).","Opioid analgesic therapy (e.g., Buprenorphine); NSAID analgesic therapy (e.g., Meloxicam, Carprofen); Surgical intervention (based on clinical assessment); Radiation therapy (based on oncology assessment). Final selection based on clinical assessment."
dog,"rapidly growing mass in spleen found on ultrasound, sudden collapse, pale gums, internal bleeding",Splenic Hemangiosarcoma,Neoplastic,"Emergency splenectomy, Doxorubicin-based chemotherapy, Blood transfusion, Yunnan Baiyao supplement","Keep the animal calm and comfortable; minimise physical exertion; monitor for pain signs (whimpering, reluctance to move).",Surgical intervention (based on clinical assessment); Chemotherapy protocol (based on oncology assessment); Blood product transfusion therapy. Final selection based on clinical assessment.
dog,"nasal bleeding from one nostril, facial swelling, sneezing with blood, loss of smell, weight loss",Nasal Carcinoma,Neoplastic,"Radiation therapy (definitive), Palliative Piroxicam 0.3mg/kg SID, Carboplatin chemotherapy, Palliative NSAIDs","Keep the animal calm and comfortable; minimise physical exertion; monitor for pain signs (whimpering, reluctance to move).","NSAID analgesic therapy (e.g., Meloxicam, Carprofen); Chemotherapy protocol (based on oncology assessment); Radiation therapy (based on oncology assessment). Final selection based on clinical assessment."
dog,"rectal mass, straining to defecate, ribbon-like stools, blood in feces, scooting",Perianal/Rectal Tumor,Neoplastic,"Surgical excision, Prednisone, Mitoxantrone chemotherapy, Palliative Piroxicam, Pain management Tramadol","Keep the animal calm and comfortable; minimise physical exertion; monitor for pain signs (whimpering, reluctance to move).","Corticosteroid therapy (e.g., Prednisolone); Opioid analgesic therapy (e.g., Buprenorphine); Surgical intervention (based on clinical assessment); Chemotherapy protocol (based on oncology assessment). Final selection based on clinical assessment."
dog,"intense scratching, hair loss at base of tail, flea dirt visible, hot spots, skin redness",Flea Infestation,Parasitic,"Nexgard (Afoxolaner) chewable, Frontline Plus topical, Capstar (Nitenpyram), Chlorhexidine shampoo",Remove visible external parasites carefully (use gloves); check the whole body; avoid contact with wild animals.,"Ectoparasitic treatment (e.g., Selamectin, Fipronil). Final selection based on clinical assessment."
dog,"ticks visible on skin, fever, loss of appetite, swollen joints, lethargy after outdoor activity",Tick Infestation,Parasitic,"Simparica Trio, Bravecto (Fluralaner) 25mg/kg, Permethrin spray, Doxycycline if tick-borne illness suspected",Remove visible external parasites carefully (use gloves); check the whole body; avoid contact with wild animals.,"Tetracycline antibiotic therapy (e.g., Doxycycline); Ectoparasitic treatment (e.g., Selamectin, Fipronil). Final selection based on clinical assessment."
dog,"allergic reaction to flea bites, crusty skin lesions, dandruff, excessive licking of paws and rear",Flea Allergy Dermatitis,Parasitic/Allergic,"Revolution (Selamectin), Cytopoint injection, Apoquel (Oclacitinib) 0.4-0.6mg/kg BID, Antihistamines",Remove visible external parasites carefully (use gloves); check the whole body; avoid contact with wild animals.,"Antiparasitic therapy (e.g., Ivermectin, Fenbendazole); Ectoparasitic treatment (e.g., Selamectin, Fipronil). Final selection based on clinical assessment."
dog,"small moving specks on skin, anemia in puppy, pale gums, weakness, flea dirt on white areas of fur",Severe Flea Infestation with Anemia,Parasitic,"Capstar immediate oral treatment, Frontline Plus, Iron supplementation, Blood transfusion if PCV <15%",Remove visible external parasites carefully (use gloves); check the whole body; avoid contact with wild animals.,"Iron supplementation therapy; Blood product transfusion therapy; Ectoparasitic treatment (e.g., Selamectin, Fipronil). Final selection based on clinical assessment."
dog,"embedded tick on ear, fever 72hrs later, loss of appetite, lameness, tick paralysis signs",Tick Paralysis,Parasitic/Toxin,"Immediate complete tick removal, Supportive care, Tick antitoxin if available, Antibiotic if Lyme suspected",Remove visible external parasites carefully (use gloves); check the whole body; avoid contact with wild animals.,"Broad-spectrum antibiotic therapy (based on culture and sensitivity); Ectoparasitic treatment (e.g., Selamectin, Fipronil). Final selection based on clinical assessment."
dog,"circular patches of hair loss, scaly skin, brittle broken hairs, redness around lesion, itching",Ringworm,Fungal,"Itraconazole 5mg/kg SID, Terbinafine 30mg/kg SID, Lime sulfur dips weekly, Miconazole shampoo",Keep affected skin area clean and dry; prevent scratching; wear gloves when handling; wash hands thoroughly after contact.,"Antifungal therapy (e.g., Fluconazole); Iron supplementation therapy. Final selection based on clinical assessment."
dog,"crusty lesions on face and ears, hair loss on legs, dandruff, spreading circular bald patches",Ringworm,Fungal,"Fluconazole 5-10mg/kg SID, Clotrimazole cream topical, Ketoconazole 10mg/kg, Antifungal shampoo 2x/week",Keep affected skin area clean and dry; prevent scratching; wear gloves when handling; wash hands thoroughly after contact.,"Antifungal therapy (e.g., Fluconazole); Iron supplementation therapy. Final selection based on clinical assessment."
dog,"glowing lesions under Wood's lamp, multiple bald circular patches spreading to family members, scaly skin",Ringworm,Fungal,"Itraconazole 5mg/kg SID x 6 weeks, Lime sulfur dips 1:16 dilution weekly, Environmental decontamination",Keep affected skin area clean and dry; prevent scratching; wear gloves when handling; wash hands thoroughly after contact.,"Antifungal therapy (e.g., Fluconazole); Iron supplementation therapy. Final selection based on clinical assessment."
dog,"pustules at edge of circular lesion, hair follicle infection, crusty scabs on face in young dog",Ringworm with Secondary Pyoderma,Fungal/Bacterial,"Itraconazole 5mg/kg SID + Cephalexin 22mg/kg BID, Chlorhexidine-Miconazole shampoo, Topical clotrimazole",Clean any visible wounds with mild antiseptic; isolate from other animals; prevent the animal from licking affected areas.,"Cephalosporin antibiotic therapy (e.g., Cephalexin); Antifungal therapy (e.g., Fluconazole). Final selection based on clinical assessment."
dog,"sudden lameness shifting between legs, fever 39-40°C, swollen joints, loss of appetite, fatigue",Lyme Disease,Bacterial (Tick-borne),"Doxycycline 10mg/kg BID x 28 days, Amoxicillin 20mg/kg TID, Lyme vaccine (prevention), Tick prevention",Clean any visible wounds with mild antiseptic; isolate from other animals; prevent the animal from licking affected areas.,"Tetracycline antibiotic therapy (e.g., Doxycycline); NSAID analgesic therapy (e.g., Meloxicam, Carprofen); Ectoparasitic treatment (e.g., Selamectin, Fipronil). Final selection based on clinical assessment."
dog,"reluctance to move, sensitive to touch, decreased activity, kidney problems (protein in urine), fever",Lyme Nephritis,Bacterial (Tick-borne),"Doxycycline 10mg/kg BID, IV fluids for kidney support, Meloxicam 0.1mg/kg for joint pain, Bravecto",Clean any visible wounds with mild antiseptic; isolate from other animals; prevent the animal from licking affected areas.,"Fluid therapy (e.g., Crystalloid IV, Ringer's Lactate); Tetracycline antibiotic therapy (e.g., Doxycycline); NSAID analgesic therapy (e.g., Meloxicam, Carprofen). Final selection based on clinical assessment."
dog,"recurring joint swelling in tick-endemic region, positive 4Dx test, fatigue, loss of appetite",Lyme Disease (Chronic),Bacterial (Tick-borne),"Doxycycline 10mg/kg BID x 4 weeks, Meloxicam 0.1mg/kg, Omega-3 fatty acids, Monthly tick prevention",,
dog,"edema in face and limbs, protein-losing nephropathy, hypoalbuminemia, positive Lyme serology",Lyme-Associated Nephropathy,Bacterial (Tick-borne),"Doxycycline 10mg/kg BID, Benazepril 0.25mg/kg SID, Low-protein renal diet, Aspirin, Amlodipine if hypertensive",Clean any visible wounds with mild antiseptic; isolate from other animals; prevent the animal from licking affected areas.,"Tetracycline antibiotic therapy (e.g., Doxycycline); Cardiovascular therapy (e.g., Pimobendan, Enalapril). Final selection based on clinical assessment."
dog,"scratching at ears, head shaking, dark waxy discharge from ear, foul ear odor, ear redness",Otitis Externa,Bacterial/Fungal,"Otomax (Gentamicin+Betamethasone+Clotrimazole) drops, Tris-EDTA flush, Oral Cephalexin 22mg/kg BID",Clean any visible wounds with mild antiseptic; isolate from other animals; prevent the animal from licking affected areas.,"Cephalosporin antibiotic therapy (e.g., Cephalexin). Final selection based on clinical assessment."
dog,"tilting head to one side, loss of balance, eye twitching, circling, pawing at ear",Otitis Media/Interna,Bacterial,"Enrofloxacin 5mg/kg BID, Prednisolone 1mg/kg, Ear flush under anesthesia, Ticarcillin drops",Clean any visible wounds with mild antiseptic; isolate from other animals; prevent the animal from licking affected areas.,"Fluoroquinolone antibiotic therapy (e.g., Enrofloxacin); Corticosteroid therapy (e.g., Prednisolone). Final selection based on clinical assessment."
dog,"coffee-ground debris in ear, intense itching of ears, head shaking, ear mites visible on swab",Otoacariasis (Ear Mites),Parasitic,"Milbemite (Milbemycin oxime) drops, Ivermectin 0.2mg/kg SC, Revolution topical, Mineral oil flush",,
dog,"brown-black malodorous discharge, severe ear inflammation, pain on ear palpation, proliferative tissue",Chronic Otitis Externa (Malassezia),Fungal/Bacterial,"Posatex drops (Orbifloxacin+Posaconazole+Mometasone), TRIS-EDTA flush, Oral Itraconazole, Surgery (TECA) if chronic",,
dog,"swimmer's ear after bathing, moist ear canal, secondary bacterial growth, itching, head shaking",Otitis Externa (Post-Swim),Bacterial,"Surolan drops, Drying ear flush (acetic acid solution), Cephalexin 22mg/kg BID, Keep ears dry, Ear drying powder",,
dog,"itchy paws licking constantly, face rubbing, belly rash, sneezing, watery eyes, hot spots",Environmental Allergies,Allergic,"Apoquel (Oclacitinib) 0.4mg/kg BID, Cytopoint injection monthly, Prednisolone 1mg/kg, Antihistamines",Remove suspected allergen from environment; prevent scratching or rubbing; apply a cool (not cold) compress to swollen areas.,"Corticosteroid therapy (e.g., Prednisolone). Final selection based on clinical assessment."
dog,"chronic diarrhea, vomiting after meals, itchy skin year-round, ear infections, poor coat quality",Food Allergy,Allergic,"Hydrolyzed protein diet (Royal Canin HP), Novel protein diet, Apoquel, Elimination diet trial",Remove suspected allergen from environment; prevent scratching or rubbing; apply a cool (not cold) compress to swollen areas.,"Pharmacological therapy as determined by veterinary assessment; adjust based on body weight, severity, and diagnostic findings."
dog,"hives after insect sting, facial swelling, vomiting, collapse, breathing difficulty",Anaphylaxis/Acute Allergy,Allergic,"Epinephrine 0.01mg/kg IM EMERGENCY, Diphenhydramine 2mg/kg IV, Dexamethasone 0.1mg/kg IV, IV fluids",Keep the animal flat; monitor airway; transport immediately; note the likely trigger for the vet.,"Fluid therapy (e.g., Crystalloid IV, Ringer's Lactate); Corticosteroid therapy (e.g., Prednisolone); Antihistamine therapy (e.g., Diphenhydramine); Emergency vasopressor therapy (e.g., Epinephrine). Final selection based on clinical assessment."
dog,"seasonal itching worsening in summer, paw chewing, perianal scooting, recurrent ear infections, belly redness",Atopic Dermatitis,Allergic,"Cytopoint 2mg/kg SC monthly, Apoquel 0.4mg/kg BID, Omega-3 fish oil, Hypoallergenic shampoo, Immunotherapy",Remove suspected allergen from environment; prevent scratching or rubbing; apply a cool (not cold) compress to swollen areas.,"Pharmacological therapy as determined by veterinary assessment; adjust based on body weight, severity, and diagnostic findings."
dog,"contact dermatitis on belly and paws, redness where touching grass, itching only outdoors, normal in winter",Contact Allergy,Allergic,"Diphenhydramine 2mg/kg BID, Hydrocortisone spray, Apoquel, Identify and avoid allergen, Barrier cream",Remove suspected allergen from environment; prevent scratching or rubbing; apply a cool (not cold) compress to swollen areas.,"Antihistamine therapy (e.g., Diphenhydramine). Final selection based on clinical assessment."
dog,"bad breath, yellow/brown tartar on teeth, drooling, pawing at mouth, difficulty chewing, bleeding gums",Periodontal Disease,Dental,"Professional dental scaling under anesthesia, Amoxicillin 22mg/kg BID, Chlorhexidine oral rinse, Dental chews",Offer soft food only; rinse the mouth with clean water if possible; prevent chewing on hard objects.,"Broad-spectrum antibiotic therapy (e.g., Amoxicillin-Clavulanate). Final selection based on clinical assessment."
dog,"tooth root abscess, facial swelling below eye, fistula draining pus, reluctance to eat",Dental Abscess,Dental/Bacterial,"Tooth extraction, Clindamycin 5.5mg/kg BID, Amoxicillin-Clavulanate, Meloxicam 0.1mg/kg for pain",Clean any visible wounds with mild antiseptic; isolate from other animals; prevent the animal from licking affected areas.,"Broad-spectrum antibiotic therapy (e.g., Amoxicillin-Clavulanate); NSAID analgesic therapy (e.g., Meloxicam, Carprofen). Final selection based on clinical assessment."
dog,"loose teeth, receding gums, visible root exposure, drooling blood-tinged saliva, chewing on one side",Advanced Periodontal Disease,Dental,"Multiple tooth extractions, Clindamycin 5.5mg/kg BID, Chlorhexidine rinse daily, Soft food diet post-procedure",Offer soft food only; rinse the mouth with clean water if possible; prevent chewing on hard objects.,"Pharmacological therapy as determined by veterinary assessment; adjust based on body weight, severity, and diagnostic findings."
dog,"broken fractured tooth with exposed pulp, tooth discoloration, reluctance to chew hard food, facial pain",Tooth Fracture,Dental,"Root canal or extraction, Amoxicillin 22mg/kg BID, Meloxicam 0.1mg/kg SID, Soft diet, Dental X-ray",Immobilise with a padded splint or rolled towel; do not try to reset; keep the animal still during transport.,"Broad-spectrum antibiotic therapy (e.g., Amoxicillin-Clavulanate); NSAID analgesic therapy (e.g., Meloxicam, Carprofen). Final selection based on clinical assessment."
dog,"pot-bellied appearance in puppy, diarrhea with worms, poor coat, failure to thrive, vomiting worms",Roundworms (Toxocara),Parasitic,"Pyrantel pamoate 5mg/kg, Fenbendazole 50mg/kg x 3 days, Milbemax, Deworming every 3 months",,
dog,"bloody diarrhea, weight loss, pale gums, weakness, protein-losing enteropathy",Hookworms (Ancylostoma),Parasitic,"Pyrantel pamoate 5mg/kg, Fenbendazole 50mg/kg x 5 days, Iron supplementation, IV fluids if severe",,
dog,"rice-like segments in stool or around anus, scooting, anal itching, weight loss",Tapeworms (Dipylidium),Parasitic,"Praziquantel 5mg/kg PO single dose, Droncit injection, Flea control (primary vector), Drontal Plus",,
dog,"mucus-covered diarrhea, straining to defecate, large bowel diarrhea, weight loss",Whipworms (Trichuris),Parasitic,"Fenbendazole 50mg/kg x 3 days, Milbemax (Milbemycin+Praziquantel), Drontal Plus, Febantel",,
dog,"watery yellow diarrhea, weight loss, poor appetite, greasy smelling stool",Giardia,Parasitic (Protozoan),"Metronidazole 25mg/kg BID x 5 days, Fenbendazole 50mg/kg x 5 days, Panacur, Hygiene protocol",Remove visible external parasites carefully (use gloves); check the whole body; avoid contact with wild animals.,"Antimicrobial therapy (e.g., Metronidazole); Antiparasitic therapy (e.g., Ivermectin, Fenbendazole). Final selection based on clinical assessment."
dog,"explosive watery diarrhea in kennel group, dehydration, cramping pain, blood tinged stool in some cases",Coccidiosis (Isospora),Parasitic (Protozoan),"Sulfadimethoxine 55mg/kg day 1 then 27.5mg/kg SID x 20 days, Trimethoprim-Sulfa, IV fluids, Probiotics",,
dog,"stiffness after rest, slow to rise, reluctance to climb stairs, limping in cold weather, muscle loss",Osteoarthritis,Orthopedic,"Carprofen 2.2mg/kg BID, Meloxicam 0.1mg/kg SID, Adequan (Polysulfated glycosaminoglycan) injections, Fish oil",Restrict movement; use a makeshift stretcher for transport; do not manipulate the limb.,"NSAID analgesic therapy (e.g., Meloxicam, Carprofen). Final selection based on clinical assessment."
dog,"crying when touched, swollen joints, grinding joint sound, reduced range of motion, aging dog",Degenerative Joint Disease,Orthopedic,"Galliprant (Grapiprant) 2mg/kg SID, Gabapentin 5-10mg/kg TID, Glucosamine+Chondroitin supplement, Physiotherapy",Restrict movement; use a makeshift stretcher for transport; do not manipulate the limb.,"Neuropathic pain therapy (e.g., Gabapentin). Final selection based on clinical assessment."
dog,"hip pain in large breed dog, bunny-hopping gait, difficulty standing from lying, narrow rear stance",Hip Dysplasia with Arthritis,Orthopedic,"Carprofen 2.2mg/kg BID, Adequan injections, Librela (Bedinvetmab) monthly injection, Hip replacement surgery",Restrict movement; use a makeshift stretcher for transport; do not manipulate the limb.,"NSAID analgesic therapy (e.g., Meloxicam, Carprofen); Surgical intervention (based on clinical assessment). Final selection based on clinical assessment."
